DescrRegione,MacroRegione,Year,Count,Occupati,PercentageOccupati,SummarisedCount
Lombardia,NordOvest,2022,199,4424396,4.4977890767462e-05,High (101-500)
Lombardia,NordOvest,2023,72,4500716,1.5997454627218998e-05,Moderate (51-100)
Marche,Centro,2018,24,632187,3.796345068785e-05,Low (11-50)
Marche,Centro,2019,36,632493,5.691762596582e-05,Low (11-50)
Marche,Centro,2020,54,611817,8.8261686092409e-05,Moderate (51-100)
Marche,Centro,2021,36,616562,5.8388288606822994e-05,Low (11-50)
Marche,Centro,2022,38,639261,5.9443638826707e-05,Low (11-50)
Marche,Centro,2023,9,641107,1.4038218269337e-05,Very low (1-10)
Molise,Sud,2018,14,105958,0.000132127824232242,Low (11-50)
Molise,Sud,2019,13,108495,0.000119821189916586,Low (11-50)
Molise,Sud,2020,17,103979,0.000163494551784494,Low (11-50)
Molise,Sud,2021,19,100276,0.000189477043360325,Low (11-50)
Molise,Sud,2022,7,103093,6.7899857410299e-05,Very low (1-10)
Piemonte,NordOvest,2018,108,1815546,5.9486237198066e-05,High (101-500)
Piemonte,NordOvest,2019,105,1812535,5.7929915836107e-05,High (101-500)
Piemonte,NordOvest,2020,145,1748168,8.2943973348099e-05,High (101-500)
Piemonte,NordOvest,2021,119,1767300,6.7334351836134e-05,High (101-500)
Piemonte,NordOvest,2022,99,1785318,5.5452305975742e-05,Moderate (51-100)
Piemonte,NordOvest,2023,25,1800861,1.3882248546667e-05,Low (11-50)
Puglia,Sud,2018,82,1201700,6.823666472497201e-05,Moderate (51-100)
Puglia,Sud,2019,75,1216063,6.1674436275094e-05,Moderate (51-100)
Puglia,Sud,2020,110,1188112,9.2583864147487e-05,High (101-500)
Puglia,Sud,2021,103,1206761,8.535244344157601e-05,High (101-500)
Puglia,Sud,2022,78,1266627,6.158087582216299e-05,Moderate (51-100)
Puglia,Sud,2023,23,1292646,1.7792961104587e-05,Low (11-50)
Sicilia,Sud,2018,76,1342938,5.6592337099702e-05,Moderate (51-100)
Sicilia,Sud,2019,88,1341533,6.5596597325596e-05,Moderate (51-100)
Sicilia,Sud,2020,105,1305304,8.044103136127599e-05,High (101-500)
Sicilia,Sud,2021,83,1310864,6.3317018393975e-05,Moderate (51-100)
Sicilia,Sud,2022,72,1337017,5.3851222534941e-05,Moderate (51-100)
Sicilia,Sud,2023,24,1410776,1.7011914010445e-05,Low (11-50)
Toscana,Centro,2018,90,1578180,5.7027715469718e-05,Moderate (51-100)
Toscana,Centro,2019,76,1584130,4.7975860566998e-05,Moderate (51-100)
Toscana,Centro,2020,81,1544467,5.2445277238037e-05,Moderate (51-100)
Toscana,Centro,2021,76,1546282,4.9150155017002e-05,Moderate (51-100)
Toscana,Centro,2022,86,1617713,5.3161469308832005e-05,Moderate (51-100)
Toscana,Centro,2023,19,1628035,1.1670510769117e-05,Low (11-50)
Trentino Alto Adige,NordEst,2018,16,496171,3.2246947121052995e-05,Low (11-50)
Trentino Alto Adige,NordEst,2019,34,500166,6.7977431492744e-05,Low (11-50)
Trentino Alto Adige,NordEst,2020,26,486175,5.3478685658456e-05,Low (11-50)
Trentino Alto Adige,NordEst,2021,30,487081,6.1591398555887e-05,Low (11-50)
Trentino Alto Adige,NordEst,2022,38,506320,7.5051350924316e-05,Low (11-50)
Trentino Alto Adige,NordEst,2023,10,507708,1.9696360900359998e-05,Very low (1-10)
Umbria,Centro,2018,21,349450,6.0094434110744996e-05,Low (11-50)
Umbria,Centro,2019,19,358279,5.3031296838497e-05,Low (11-50)
Umbria,Centro,2020,13,348364,3.731728881285e-05,Low (11-50)
Umbria,Centro,2021,28,354249,7.904044894974999e-05,Low (11-50)
Umbria,Centro,2022,23,352298,6.5285638862553e-05,Low (11-50)
Umbria,Centro,2023,11,361596,3.0420690494363e-05,Low (11-50)
Valle D'Aosta,NordOvest,2018,1,54777,1.8255837303977e-05,Very low (1-10)
Valle D'Aosta,NordOvest,2019,1,55199,1.8116270222286e-05,Very low (1-10)
Valle D'Aosta,NordOvest,2020,2,53103,3.7662655593845e-05,Very low (1-10)
Valle D'Aosta,NordOvest,2021,5,52741,9.480290476100099e-05,Very low (1-10)
Valle D'Aosta,NordOvest,2022,7,55164,0.00012689435138858602,Very low (1-10)
Valle D'Aosta,NordOvest,2023,1,56813,1.76016052664e-05,Very low (1-10)
Veneto,NordEst,2018,125,2123868,5.8854881753479e-05,High (101-500)
Veneto,NordEst,2019,109,2153657,5.0611587639071e-05,High (101-500)
Veneto,NordEst,2020,108,2075427,5.2037484334548e-05,High (101-500)
Veneto,NordEst,2021,119,2080525,5.7197101693081996e-05,High (101-500)
Veneto,NordEst,2022,129,2145361,6.0129740402664004e-05,High (101-500)
Total,Total,2018,1271,22958728,5.5360209851347005e-05,Extremely High (1001+)
Total,Total,2019,1216,23109405,5.2619269081138006e-05,Extremely High (1001+)
Total,Total,2020,1689,22385258,7.545144219468001e-05,Extremely High (1001+)
Total,Total,2021,1402,22553956,6.2162043767399e-05,Extremely High (1001+)
Total,Total,2022,1216,23099391,5.2642080477359e-05,Extremely High (1001+)
Total,Total,2023,318,23579947,1.3486035401182e-05,High (101-500)
